"","trial","ppt","J","K","y"
"1",1,1,"J1","K1",1
"2",2,1,"J1","K1",1
"3",3,1,"J1","K1",1
"4",4,1,"J1","K1",1
"5",5,1,"J1","K1",1
"6",6,1,"J1","K1",1
"7",7,1,"J1","K1",1
"8",8,1,"J1","K1",1
"9",9,1,"J1","K1",1
"10",10,1,"J1","K1",1
"11",11,1,"J1","K1",1
"12",12,1,"J1","K1",1
"13",1,2,"J1","K1",0
"14",2,2,"J1","K1",1
"15",3,2,"J1","K1",1
"16",4,2,"J1","K1",1
"17",5,2,"J1","K1",0
"18",6,2,"J1","K1",1
"19",7,2,"J1","K1",1
"20",8,2,"J1","K1",1
"21",9,2,"J1","K1",1
"22",10,2,"J1","K1",1
"23",11,2,"J1","K1",1
"24",12,2,"J1","K1",1
"25",1,3,"J1","K1",1
"26",2,3,"J1","K1",1
"27",3,3,"J1","K1",1
"28",4,3,"J1","K1",1
"29",5,3,"J1","K1",1
"30",6,3,"J1","K1",1
"31",7,3,"J1","K1",1
"32",8,3,"J1","K1",1
"33",9,3,"J1","K1",1
"34",10,3,"J1","K1",1
"35",11,3,"J1","K1",1
"36",12,3,"J1","K1",1
"37",1,4,"J1","K1",1
"38",2,4,"J1","K1",1
"39",3,4,"J1","K1",1
"40",4,4,"J1","K1",1
"41",5,4,"J1","K1",1
"42",6,4,"J1","K1",1
"43",7,4,"J1","K1",1
"44",8,4,"J1","K1",1
"45",9,4,"J1","K1",1
"46",10,4,"J1","K1",1
"47",11,4,"J1","K1",1
"48",12,4,"J1","K1",1
"49",1,5,"J1","K1",1
"50",2,5,"J1","K1",1
"51",3,5,"J1","K1",1
"52",4,5,"J1","K1",1
"53",5,5,"J1","K1",1
"54",6,5,"J1","K1",1
"55",7,5,"J1","K1",1
"56",8,5,"J1","K1",1
"57",9,5,"J1","K1",1
"58",10,5,"J1","K1",1
"59",11,5,"J1","K1",1
"60",12,5,"J1","K1",1
"61",1,6,"J1","K1",0
"62",2,6,"J1","K1",0
"63",3,6,"J1","K1",1
"64",4,6,"J1","K1",0
"65",5,6,"J1","K1",1
"66",6,6,"J1","K1",1
"67",7,6,"J1","K1",1
"68",8,6,"J1","K1",1
"69",9,6,"J1","K1",1
"70",10,6,"J1","K1",1
"71",11,6,"J1","K1",1
"72",12,6,"J1","K1",1
"73",1,7,"J1","K1",1
"74",2,7,"J1","K1",1
"75",3,7,"J1","K1",1
"76",4,7,"J1","K1",0
"77",5,7,"J1","K1",1
"78",6,7,"J1","K1",1
"79",7,7,"J1","K1",1
"80",8,7,"J1","K1",1
"81",9,7,"J1","K1",1
"82",10,7,"J1","K1",1
"83",11,7,"J1","K1",1
"84",12,7,"J1","K1",1
"85",1,8,"J1","K1",0
"86",2,8,"J1","K1",0
"87",3,8,"J1","K1",1
"88",4,8,"J1","K1",0
"89",5,8,"J1","K1",1
"90",6,8,"J1","K1",1
"91",7,8,"J1","K1",1
"92",8,8,"J1","K1",1
"93",9,8,"J1","K1",1
"94",10,8,"J1","K1",1
"95",11,8,"J1","K1",1
"96",12,8,"J1","K1",0
"97",1,9,"J1","K1",1
"98",2,9,"J1","K1",1
"99",3,9,"J1","K1",0
"100",4,9,"J1","K1",1
"101",5,9,"J1","K1",1
"102",6,9,"J1","K1",1
"103",7,9,"J1","K1",1
"104",8,9,"J1","K1",1
"105",9,9,"J1","K1",1
"106",10,9,"J1","K1",1
"107",11,9,"J1","K1",1
"108",12,9,"J1","K1",1
"109",1,10,"J1","K1",0
"110",2,10,"J1","K1",1
"111",3,10,"J1","K1",1
"112",4,10,"J1","K1",1
"113",5,10,"J1","K1",0
"114",6,10,"J1","K1",1
"115",7,10,"J1","K1",1
"116",8,10,"J1","K1",0
"117",9,10,"J1","K1",0
"118",10,10,"J1","K1",1
"119",11,10,"J1","K1",0
"120",12,10,"J1","K1",1
"121",1,11,"J1","K1",1
"122",2,11,"J1","K1",1
"123",3,11,"J1","K1",1
"124",4,11,"J1","K1",1
"125",5,11,"J1","K1",1
"126",6,11,"J1","K1",1
"127",7,11,"J1","K1",1
"128",8,11,"J1","K1",1
"129",9,11,"J1","K1",1
"130",10,11,"J1","K1",1
"131",11,11,"J1","K1",1
"132",12,11,"J1","K1",1
"133",1,12,"J1","K1",1
"134",2,12,"J1","K1",1
"135",3,12,"J1","K1",1
"136",4,12,"J1","K1",1
"137",5,12,"J1","K1",0
"138",6,12,"J1","K1",1
"139",7,12,"J1","K1",1
"140",8,12,"J1","K1",0
"141",9,12,"J1","K1",1
"142",10,12,"J1","K1",1
"143",11,12,"J1","K1",1
"144",12,12,"J1","K1",1
"145",1,13,"J1","K1",1
"146",2,13,"J1","K1",1
"147",3,13,"J1","K1",1
"148",4,13,"J1","K1",1
"149",5,13,"J1","K1",1
"150",6,13,"J1","K1",1
"151",7,13,"J1","K1",1
"152",8,13,"J1","K1",1
"153",9,13,"J1","K1",1
"154",10,13,"J1","K1",1
"155",11,13,"J1","K1",1
"156",12,13,"J1","K1",0
"157",1,14,"J1","K1",1
"158",2,14,"J1","K1",1
"159",3,14,"J1","K1",1
"160",4,14,"J1","K1",1
"161",5,14,"J1","K1",1
"162",6,14,"J1","K1",1
"163",7,14,"J1","K1",1
"164",8,14,"J1","K1",1
"165",9,14,"J1","K1",1
"166",10,14,"J1","K1",1
"167",11,14,"J1","K1",1
"168",12,14,"J1","K1",0
"169",1,15,"J1","K1",1
"170",2,15,"J1","K1",0
"171",3,15,"J1","K1",1
"172",4,15,"J1","K1",0
"173",5,15,"J1","K1",1
"174",6,15,"J1","K1",1
"175",7,15,"J1","K1",0
"176",8,15,"J1","K1",0
"177",9,15,"J1","K1",1
"178",10,15,"J1","K1",1
"179",11,15,"J1","K1",0
"180",12,15,"J1","K1",1
"181",1,16,"J1","K1",1
"182",2,16,"J1","K1",1
"183",3,16,"J1","K1",1
"184",4,16,"J1","K1",0
"185",5,16,"J1","K1",1
"186",6,16,"J1","K1",1
"187",7,16,"J1","K1",1
"188",8,16,"J1","K1",1
"189",9,16,"J1","K1",1
"190",10,16,"J1","K1",0
"191",11,16,"J1","K1",1
"192",12,16,"J1","K1",1
"193",1,17,"J1","K1",1
"194",2,17,"J1","K1",1
"195",3,17,"J1","K1",1
"196",4,17,"J1","K1",1
"197",5,17,"J1","K1",1
"198",6,17,"J1","K1",1
"199",7,17,"J1","K1",0
"200",8,17,"J1","K1",1
"201",9,17,"J1","K1",1
"202",10,17,"J1","K1",1
"203",11,17,"J1","K1",1
"204",12,17,"J1","K1",1
"205",1,18,"J1","K1",1
"206",2,18,"J1","K1",1
"207",3,18,"J1","K1",1
"208",4,18,"J1","K1",1
"209",5,18,"J1","K1",1
"210",6,18,"J1","K1",0
"211",7,18,"J1","K1",1
"212",8,18,"J1","K1",1
"213",9,18,"J1","K1",0
"214",10,18,"J1","K1",1
"215",11,18,"J1","K1",1
"216",12,18,"J1","K1",0
"217",1,19,"J1","K1",1
"218",2,19,"J1","K1",1
"219",3,19,"J1","K1",1
"220",4,19,"J1","K1",1
"221",5,19,"J1","K1",1
"222",6,19,"J1","K1",1
"223",7,19,"J1","K1",0
"224",8,19,"J1","K1",1
"225",9,19,"J1","K1",1
"226",10,19,"J1","K1",1
"227",11,19,"J1","K1",1
"228",12,19,"J1","K1",1
"229",1,20,"J1","K1",0
"230",2,20,"J1","K1",0
"231",3,20,"J1","K1",1
"232",4,20,"J1","K1",1
"233",5,20,"J1","K1",1
"234",6,20,"J1","K1",1
"235",7,20,"J1","K1",0
"236",8,20,"J1","K1",1
"237",9,20,"J1","K1",1
"238",10,20,"J1","K1",1
"239",11,20,"J1","K1",0
"240",12,20,"J1","K1",1
"241",1,21,"J1","K1",1
"242",2,21,"J1","K1",1
"243",3,21,"J1","K1",1
"244",4,21,"J1","K1",0
"245",5,21,"J1","K1",1
"246",6,21,"J1","K1",1
"247",7,21,"J1","K1",1
"248",8,21,"J1","K1",1
"249",9,21,"J1","K1",0
