weight	km	class 
1152	14.0	Small
1055	14.0	Small
830	15.7	Small
1017	13.6	Small
1098	13.6	Small
1028	11.1	Small
1024	14.0	Small
1058	11.9	Small
1033	10.6	Small
855	14.5	Small
1076	12.3	Small
934	14.9	Small
1049	11.1	Small
1494	8.5	Sporty
1298	11.5	Sporty
1490	8.1	Sporty
1213	12.8	Sporty
977	14.0	Sporty
1220	11.5	Sporty
1249	10.2	Sporty
1278	11.1	Sporty
1118	11.9	Sporty
1202	11.5	Compact
1188	9.8	Compact
1195	11.1	Compact
1379	10.6	Compact
1238	10.2	Compact
1314	11.1	Compact
1251	10.2	Compact
1235	10.6	Compact
1400	8.9	Compact
1314	8.9	Compact
1190	9.8	Compact
1159	10.2	Compact
1321	9.8	Compact
1314	11.5	Compact
1343	9.8	Compact
1469	8.5	Medium
1296	8.9	Medium
1339	9.4	Medium
1553	9.4	Medium
1415	9.4	Medium
1436	9.4	Medium
1625	9.8	Medium
1298	9.8	Medium
1566	8.9	Medium
1440	9.4	Medium
1244	8.9	Medium
1449	8.9	Medium
1566	9.8	Medium
1496	9.8	Large
1735	7.7	Large
1733	8.5	Large
1438	7.7	Van
1681	7.7	Van
1649	7.7	Van
1681	8.1	Van
1537	8.5	Van
1433	8.5	Van
1661	8.1	Van
